"year","month","firstName","lastName","revenue"
2021,April,Steve,Patterson,10223.83
2021,April,Barry,Jones,10549.01
2021,August,Andy,Fixter,45864.03
2021,August,Loui,Bondur,67525.13
2021,December,Leslie,Thompson,50342.74
2021,December,Andy,Fixter,41554.73
2021,July,Larry,Bott,48425.69
2021,July,Loui,Bondur,33383.14
2021,June,Pamela,Castillo,52151.81
2021,June,Mami,Nishi,51001.22
2021,May,Barry,Jones,50218.95
2021,May,Pamela,Castillo,53959.21
2021,November,Leslie,Jennings,94727.69
2021,November,Julie,Firrelli,41016.75
2021,October,Loui,Bondur,37339.73
2021,October,Leslie,Jennings,55601.84
2021,September,Martin,Gerard,57131.92
2021,September,Foon Yue,Tseng,58841.35
2022,April,Loui,Bondur,49614.72
2022,April,Leslie,Thompson,21053.69
2022,August,Gerard,Hernandez,97645.91
2022,August,Leslie,Jennings,42798.08
2022,December,Barry,Jones,93608.07
2022,December,Steve,Patterson,103693.79
2022,February,Pamela,Castillo,154665.41
2022,February,Leslie,Jennings,81620.09
2022,January,Larry,Bott,94233.76
2022,January,Barry,Jones,62392.07
2022,July,Larry,Bott,41208.20
2022,July,George,Vanauf,42362.46
2022,June,Leslie,Thompson,80375.24
2022,June,Martin,Gerard,47375.92
2022,March,Julie,Firrelli,146419.91
2022,March,Barry,Jones,113012.93
2022,May,Loui,Bondur,49165.16
2022,May,Gerard,Hernandez,65589.97
2022,November,Julie,Firrelli,63683.37
2022,November,Gerard,Hernandez,67933.72
2022,October,Peter,Marsh,116964.87
2022,October,Pamela,Castillo,51619.02
2022,September,Larry,Bott,45443.54
2022,September,Peter,Marsh,37281.36
2023,April,Peter,Marsh,52166.00
2023,April,Larry,Bott,45785.34
2023,February,Barry,Jones,157221.16
2023,February,Steve,Patterson,134307.68
2023,January,Barry,Jones,48669.62
2023,January,Gerard,Hernandez,59183.77
2023,June,Leslie,Jennings,76952.58
2023,June,Gerard,Hernandez,34404.21
2023,March,George,Vanauf,122323.55
2023,March,Gerard,Hernandez,117884.54
2023,May,Larry,Bott,70373.42
2023,May,Gerard,Hernandez,98434.06
